date,Unemployment Rate,CPI,Three Month T Bill Rate,Six Month T Bill Rate,BBB Rate,SP500 Index
2019-09-01,3.5,256.43,1.89,1.84,3.32,2982.16
2019-10-01,3.6,257.155,1.65,1.62,3.27,2977.68
2019-11-01,3.6,257.879,1.54,1.55,3.27,3104.9
2019-12-01,3.6,258.63,1.54,1.54,3.22,3176.75
2020-01-01,3.6,258.906,1.52,1.52,3.07,3278.2
2020-02-01,3.5,259.246,1.52,1.47,2.9,3277.31
2020-03-01,4.4,258.15,0.29,0.29,4.06,2652.39
2020-04-01,14.8,256.126,0.14,0.17,3.96,2761.98
2020-05-01,13.2,255.848,0.13,0.15,3.32,2919.62
2020-06-01,11.0,257.004,0.16,0.18,2.78,3104.66
2020-07-01,10.2,258.408,0.13,0.14,2.48,3207.62
2020-08-01,8.4,259.366,0.1,0.12,2.36,3391.71
2020-09-01,7.8,259.951,0.11,0.12,2.37,3365.52
2020-10-01,6.8,260.249,0.1,0.11,2.4,3418.7
2020-11-01,6.7,260.895,0.09,0.1,2.27,3548.99
2020-12-01,6.7,262.005,0.09,0.09,2.12,3695.31
2021-01-01,6.4,262.518,0.08,0.09,2.13,3793.75
2021-02-01,6.2,263.583,0.04,0.06,2.21,3883.43
2021-03-01,6.1,264.91,0.03,0.05,2.49,3910.51
2021-04-01,6.1,266.752,0.02,0.04,2.44,4141.18
2021-05-01,5.8,268.452,0.02,0.04,2.4,4167.85
2021-06-01,5.9,270.664,0.04,0.05,2.32,4238.49
2021-07-01,5.4,271.994,0.05,0.05,2.21,4363.71
2021-08-01,5.1,272.789,0.05,0.06,2.24,4454.21
2021-09-01,4.7,273.887,0.04,0.05,2.25,4445.54
2021-10-01,4.5,276.434,0.05,0.06,2.44,4460.71
2021-11-01,4.1,278.799,0.05,0.07,2.51,4667.39
2021-12-01,3.9,280.808,0.06,0.15,2.58,4674.77
2022-01-01,4.0,282.39,0.15,0.33,2.87,4573.82
2022-02-01,3.8,284.535,0.33,0.64,3.3,4435.98
2022-03-01,3.6,287.553,0.44,0.83,3.84,4391.27
2022-04-01,3.7,288.764,0.76,1.23,4.3,4391.3
2022-05-01,3.6,291.359,0.98,1.45,4.66,4040.36
2022-06-01,3.6,294.996,1.49,2.11,5.01,3898.95
2022-07-01,3.5,294.977,2.23,2.76,5.0,3911.73
2022-08-01,3.6,295.209,2.63,3.05,4.92,4158.56
2022-09-01,3.5,296.341,3.13,3.63,5.59,3850.52
2022-10-01,3.6,297.863,3.72,4.18,6.25,3726.05
2022-11-01,3.6,298.648,4.15,4.48,6.01,3917.49
2022-12-01,3.5,298.812,4.25,4.55,5.61,3912.38
2023-01-01,3.4,300.356,4.54,4.67,5.42,3960.66
2023-02-01,3.6,301.509,4.65,4.81,5.59,4079.68
2023-03-01,3.5,301.744,4.69,4.77,5.73,3968.56
2023-04-01,3.4,303.032,4.92,4.79,5.46,4121.47
2023-05-01,3.7,303.365,5.14,5.03,5.65,4146.17
2023-06-01,3.6,304.003,5.16,5.19,5.8,4345.37
2023-07-01,3.5,304.628,5.25,5.27,5.81,4508.08
2023-08-01,3.8,306.187,5.3,5.28,5.99,4457.36
2023-09-01,3.8,307.288,5.32,5.31,6.15,4409.1
2023-10-01,3.8,307.531,5.34,5.33,6.55,4269.4
2023-11-01,3.7,308.024,5.27,5.24,6.19,4460.06
2023-12-01,3.7,308.742,5.24,5.12,5.55,4685.05
2024-01-01,3.7,309.685,5.22,5.02,5.46,4804.49
2024-02-01,3.9,311.054,5.24,5.09,5.6,5011.96
2024-03-01,3.8,312.23,5.24,5.11,5.58,5170.57
2024-04-01,3.9,313.207,5.24,5.15,5.84,5112.49
2024-05-01,4.0,313.225,5.25,5.17,5.75,5235.23
2024-06-01,4.1,313.049,5.24,5.15,5.63,5415.14
2024-07-01,4.3,313.534,5.2,5.01,5.53,5538.0
2024-08-01,4.2,314.121,5.05,4.74,5.2,5478.21
